"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Salmourão","Osvaldo Cruz","3545100","3534609",4,NA,NA,76,0.37643475369414,NA,NA,0.00212355656496556,2,0.502952158849442
"Salmourão","Lucélia","3545100","3527405",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Marabá Paulista","Santo Anastácio","3528700","3547700",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Buritizal","Aramina","3508207","3503000",5,NA,NA,NA,0.730359543590107,NA,NA,NA,1,0.603539679942246
"Pindorama","Palmares Paulista","3538105","3535101",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Itaporanga","Coronel Macedo","3522802","3512605",9,NA,NA,97,1.72198036311379,NA,NA,0.23207412403534,2,0.649395513944458
"Taiaçu","Bebedouro","3553104","3506102",1,NA,NA,25,-1.40227979035003,NA,NA,-1.03311132756279,2,0.241393799410806
"Osvaldo Cruz","Sagres","3534609","3544707",3,NA,NA,24,-0.0567341809303825,NA,NA,-1.07050869166405,2,0.362986997043462
"Alfredo Marcondes","Álvares Machado","3500808","3501301",2,NA,NA,6,-0.615186065829541,NA,NA,-2.28429490408527,2,0.198256357384843
"Paranapuã","Urânia","3535903","3555802",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Juquiá","Iguape","3526100","3520301",2,NA,NA,14,-0.615186065829541,NA,NA,-1.55758631744739,2,0.265804375059935
"Jardinópolis","Ribeirão Preto","3525102","3543402",7,NA,NA,NA,1.28881142848927,NA,NA,NA,1,0.707356583954292
"Cerquilho","Tietê","3511508","3554508",8,NA,NA,NA,1.5174532681106,NA,NA,NA,1,0.7498613879651
"Saltinho","Tietê","3545159","3554508",2,NA,NA,57,-0.615186065829541,NA,NA,-0.268065494481958,2,0.385666142133665
"Tietê","Rafard","3554508","3542107",6,NA,NA,42,1.02959868968757,NA,NA,-0.55339675426276,2,0.512028194883457
"Nova Aliança","Potirendaba","3532801","3540804",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Tabatinga","Nova Europa","3552700","3532900",8,NA,NA,93,1.5174532681106,NA,NA,0.19233876801867,2,0.626691166339064
"Divinolândia","Caconde","3513900","3508702",6,NA,NA,42,1.02959868968757,NA,NA,-0.55339675426276,2,0.512028194883457
"Bebedouro","Pitangueiras","3506102","3539509",7,NA,NA,159,1.28881142848927,NA,NA,0.699491041763336,2,0.65257888539561
"Lucélia","Pracinha","3527405","3540853",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Martinópolis","Pracinha","3529203","3540853",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Sagres","Pracinha","3544707","3540853",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Taiaçu","Taiúva","3553104","3553203",2,NA,NA,87,-0.615186065829541,NA,NA,0.129447149315847,2,0.422615191013841
"Divinolândia","São Sebastião da Grama","3513900","3550803",4,NA,NA,42,0.37643475369414,NA,NA,-0.55339675426276,2,0.451316198487022
"Serra Azul","Cravinhos","3551405","3513108",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Ribeirão Preto","Cravinhos","3543402","3513108",18,NA,NA,656,2.96795481507726,NA,NA,2.04633443446932,2,0.933846249247743
