"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Salmourão","Osvaldo Cruz","3545100","3534609","base",2,4,NA,NA,76,NA,0.289002679569404
"Salmourão","Lucélia","3545100","3527405","base",1,1,NA,NA,NA,NA,0.132416970958724
"Marabá Paulista","Santo Anastácio","3528700","3547700","base",1,1,NA,NA,NA,NA,0.132416970958724
"Buritizal","Aramina","3508207","3503000","base",1,5,NA,NA,NA,NA,0.33530507567582
"Pindorama","Palmares Paulista","3538105","3535101","base",1,4,NA,NA,NA,NA,0.301634530126178
"Itaporanga","Coronel Macedo","3522802","3512605","base",2,9,NA,NA,97,NA,0.363288220611094
"Taiaçu","Bebedouro","3553104","3506102","base",2,1,NA,NA,25,NA,0.158106836596153
"Osvaldo Cruz","Sagres","3534609","3544707","base",2,3,NA,NA,24,NA,0.220438809567983
"Alfredo Marcondes","Álvares Machado","3500808","3501301","base",2,2,NA,NA,6,NA,0.139604331509668
"Paranapuã","Urânia","3535903","3555802","base",1,2,NA,NA,NA,NA,0.207296933764083
"Juquiá","Iguape","3526100","3520301","base",2,2,NA,NA,14,NA,0.172096674002319
"Jardinópolis","Ribeirão Preto","3525102","3543402","base",1,7,NA,NA,NA,NA,0.388433254782198
"Cerquilho","Tietê","3511508","3554508","base",1,8,NA,NA,NA,NA,0.410185038481178
"Saltinho","Tietê","3545159","3554508","base",2,2,NA,NA,57,NA,0.229753282169077
"Tietê","Rafard","3554508","3542107","base",2,6,NA,NA,42,NA,0.295233741031393
"Nova Aliança","Potirendaba","3532801","3540804","base",1,1,NA,NA,NA,NA,0.132416970958724
"Tabatinga","Nova Europa","3552700","3532900","base",2,8,NA,NA,93,NA,0.351782770364372
"Divinolândia","Caconde","3513900","3508702","base",2,6,NA,NA,42,NA,0.295233741031393
"Bebedouro","Pitangueiras","3506102","3539509","base",2,7,NA,NA,159,NA,0.363582495230348
"Lucélia","Pracinha","3527405","3540853","base",1,2,NA,NA,NA,NA,0.207296933764083
"Martinópolis","Pracinha","3529203","3540853","base",1,1,NA,NA,NA,NA,0.132416970958724
"Sagres","Pracinha","3544707","3540853","base",1,2,NA,NA,NA,NA,0.207296933764083
"Taiaçu","Taiúva","3553104","3553203","base",2,2,NA,NA,87,NA,0.247526729744802
"Divinolândia","São Sebastião da Grama","3513900","3550803","base",2,4,NA,NA,42,NA,0.264164447941307
"Serra Azul","Cravinhos","3551405","3513108","base",1,1,NA,NA,NA,NA,0.132416970958724
"Ribeirão Preto","Cravinhos","3543402","3513108","base",2,18,NA,NA,656,NA,0.503674531389045
"Nova Canaã Paulista","Aparecida d'Oeste","3532843","3502606","base",1,1,NA,NA,NA,NA,0.132416970958724
"Urânia","Aspásia","3555802","3503950","base",1,1,NA,NA,NA,NA,0.132416970958724
"Iaras","Borebi","3519253","3507456","base",1,3,NA,NA,NA,NA,0.260425112870461
"Jundiaí","Cajamar","3525904","3509205","base",2,5,NA,NA,378,NA,0.373783530470807
"São Paulo","Cajamar","3550308","3509205","base",3,4,NA,30039.4710259449,1978,NA,0.409337256628016
"Santa Cruz do Rio Pardo","Ourinhos","3546405","3534708","base",2,4,NA,NA,358,NA,0.354636958228284
"São José da Bela Vista","Franca","3549508","3516200","base",2,3,NA,NA,140,NA,0.294189015160998
"Ribeirão Pires","Santo André","3543303","3547809","base",2,4,NA,23997.4931920819,NA,NA,0.33191251891745
"São Paulo","Santo André","3550308","3547809","base",2,1,NA,247504.176626434,NA,NA,0.304436173479795
"Jacupiranga","Cajati","3524600","3509254","base",2,7,NA,NA,461,NA,0.408790183659877
"Cerquilho","Cesário Lange","3511508","3511607","base",2,1,NA,NA,28,NA,0.162762333686159
