PRACA,veic_ano,n_dias,lote,veic_dia_medio
PERUS - NORTE,9175337,366,L01-AUTOBAN,25069.2267759563
CAIERAS,25423210,366,L01-AUTOBAN,69462.3224043716
CAMPO LIMPO,25690411,366,L01-AUTOBAN,70192.3797814208
ITUPEVA NORTE,16066349,366,L01-AUTOBAN,43897.1284153006
VALINHOS NORTE,8778245,366,L01-AUTOBAN,23984.2759562842
SUMARÉ NORTE,5572874,366,L01-AUTOBAN,15226.4316939891
NOVA ODESSA NORTE,13951729,366,L01-AUTOBAN,38119.4781420765
LIMEIRA A NORTE,8797682,366,L01-AUTOBAN,24037.3825136612
VALINHOS SUL,7729597,366,L01-AUTOBAN,21119.1174863388
ITUPEVA SUL,17016878,366,L01-AUTOBAN,46494.2021857924
LIMEIRA A SUL,8629534,366,L01-AUTOBAN,23577.9617486339
LIMEIRA B SUL,3863171,366,L01-AUTOBAN,10555.1120218579
LIMEIRA B NORTE,3989370,366,L01-AUTOBAN,10899.9180327869
NOVA ODESSA SUL,13955974,366,L01-AUTOBAN,38131.0765027322
PERUS - SUL,9517340,366,L01-AUTOBAN,26003.6612021858
SUMARÉ - SUL,5683839,366,L01-AUTOBAN,15529.6147540984
MONTE ALTO,1181664,366,L03-TEBE,3228.59016393443
PIRANGI,1074432,366,L03-TEBE,2935.60655737705
COLINA,4122225,366,L03-TEBE,11262.9098360656
IRACEMÁPOLIS,2935062,366,L06-INTERVIAS,8019.29508196721
ENG. COELHO,2823574,366,L06-INTERVIAS,7714.68306010929
MOGI MIRIM,4566922,366,L06-INTERVIAS,12477.9289617486
ARARAS,1650554,366,L06-INTERVIAS,4509.71038251366
RIO CLARO,2328137,366,L06-INTERVIAS,6361.03005464481
LEME,12386227,366,L06-INTERVIAS,33842.150273224
PIRASSUNUNGA,9743088,366,L06-INTERVIAS,26620.4590163934
DESCALVADO,1790032,366,L06-INTERVIAS,4890.79781420765
STA CRUZ DAS PALMEIRAS,1742913,366,L06-INTERVIAS,4762.05737704918
IGARATÁ NORTE,4295885,366,L07-ROTA,11737.3907103825
IGARATÁ SUL,4575145,366,L07-ROTA,12500.3961748634
ATIBAIA,16947818,366,L07-ROTA,46305.5136612022
ITATIBA,13922487,366,L07-ROTA,38039.5819672131
PAULINIA A,6474959,366,L07-ROTA,17691.1448087432
JUNDIAÍ,7976227,366,L07-ROTA,21792.9699453552
LOUVEIRA,2327399,366,L07-ROTA,6359.01366120219
PAULINIA B,1198976,366,L07-ROTA,3275.89071038251
ENG. COELHO,2355814,366,L07-ROTA,6436.65027322404
PÓRTICO KM 74,455,199,L07-ROTA,2.28643216080402
PÓRTICO PAULÍNIA JD. BETEL,28722,178,L07-ROTA,161.359550561798
PÓRTICO COSMOPOLIS,48210,345,L07-ROTA,139.739130434783
JAGUARIÚNA,17652214,366,L11-RENOVIAS,48230.0928961749
ESTIVA GERBI,5697849,366,L11-RENOVIAS,15567.893442623
CASA BRANCA,2672953,366,L11-RENOVIAS,7303.15027322404
MOCOCA,2262736,366,L11-RENOVIAS,6182.33879781421
AGUAÍ,3727058,366,L11-RENOVIAS,10183.218579235
SÃO JOÃO DA BOA VISTA,1545924,366,L11-RENOVIAS,4223.83606557377
AGUAS DA PRATA,2504863,366,L11-RENOVIAS,6843.88797814208
ITOBI,871332,366,L11-RENOVIAS,2380.68852459016
PÓRTICO STO. ANT. DE POSSE,580844,366,L11-RENOVIAS,1587.00546448087
PINHAL,2469344,366,L11-RENOVIAS,6746.84153005465
ARAÇOIABA OESTE,4951617,366,L12-VIAOESTE,13529.0081967213
OSASCO,38215977,366,L12-VIAOESTE,104415.237704918
BARUERI,44238194,366,L12-VIAOESTE,120869.382513661
ITAPEVI,16604761,366,L12-VIAOESTE,45368.1994535519
ITÚ,13176666,366,L12-VIAOESTE,36001.8196721312
SOROCABA,11119899,366,L12-VIAOESTE,30382.237704918
ARAÇOIABA LESTE,5020847,366,L12-VIAOESTE,13718.1612021858
ALUMINIO,1934221,366,L12-VIAOESTE,5284.75683060109
SÃO ROQUE,1746905,366,L12-VIAOESTE,4772.96448087432
INDAIATUBA,17131270,366,L13-COLINAS,46806.7486338798
BOITUVA,11174374,366,L13-COLINAS,30531.0765027322
ITUPEVA,8659207,366,L13-COLINAS,23659.0355191257
RIO CLARO,3957764,366,L13-COLINAS,10813.5628415301
PORTO FELIZ,2384653,366,L13-COLINAS,6515.44535519126
RIO DAS PEDRAS,2220645,366,L13-COLINAS,6067.33606557377
BLOQUEIO DE BOITUVA,2090965,366,L13-COLINAS,5713.01912568306
BLOQUEIO DE INDAIATUBA,4309134,366,L13-COLINAS,11773.5901639344
PÓRTICO SALTO - 2,51058,365,L13-COLINAS,139.884931506849
PÓRTICO SALTO - 3,67037,363,L13-COLINAS,184.674931129477
PÓRTICO AEROPORTO,787016,366,L13-COLINAS,2150.31693989071
PÓRTICO CAMPINAS,273587,366,L13-COLINAS,747.505464480874
PÓRTICO ITU - 1,20554,366,L13-COLINAS,56.1584699453552
PÓRTICO ITU - 2,31764,366,L13-COLINAS,86.7868852459016
PÓRTICO SALTO - 1,35960,362,L13-COLINAS,99.3370165745856
STA. CRUZ R. PARDO,4990449,366,L16-CART,13635.106557377
REGENTE FEIJÓ,1878088,366,L16-CART,5131.38797814208
PIRATININGA,2681640,366,L16-CART,7326.88524590164
OURINHOS,4917149,366,L16-CART,13434.8333333333
PALMITAL,4375754,366,L16-CART,11955.6120218579
ASSIS,2317662,366,L16-CART,6332.40983606557
PRES. BERNARDES,4285100,366,L16-CART,11707.9234972678
CAIUÁ,2487035,366,L16-CART,6795.17759562842
RANCHARIA,1915003,366,L16-CART,5232.24863387978
AVAÍ,3697119,366,L19-VIARONDON,10101.4180327869
PIRAJUÍ,3183784,366,L19-VIARONDON,8698.86338797814
PROMISSÃO,3287277,366,L19-VIARONDON,8981.63114754098
GLICÉRIO,4032668,366,L19-VIARONDON,11018.218579235
RUBIÁCEA,3266182,366,L19-VIARONDON,8923.99453551913
LAVÍNIA,2358341,366,L19-VIARONDON,6443.55464480874
GUARAÇAÍ,2196725,366,L19-VIARONDON,6001.98087431694
CASTILHO,3031971,366,L19-VIARONDON,8284.0737704918
ITARARÉ,1581840,366,L20-SPVIAS,4321.96721311475
BURI,1690963,366,L20-SPVIAS,4620.1174863388
GRAMADÃO,2894033,366,L20-SPVIAS,7907.19398907104
ALAMBARI,4937721,366,L20-SPVIAS,13491.0409836066
MORRO II SUL,1193608,366,L20-SPVIAS,3261.22404371585
MORRO I NORTE,1183029,366,L20-SPVIAS,3232.31967213115
QUADRA,7952750,366,L20-SPVIAS,21728.825136612
ITATINGA,7409562,366,L20-SPVIAS,20244.7049180328
AVARÉ,2702248,366,L20-SPVIAS,7383.1912568306
IARAS,3684555,366,L20-SPVIAS,10067.0901639344
MONTE MOR,2447494,366,L21-ROD. DO TIETÊ,6687.14207650273
RAFARD,1499748,366,L21-ROD. DO TIETÊ,4097.67213114754
CONCHAS,1457496,366,L21-ROD. DO TIETÊ,3982.22950819672
ANHEMBI,1132405,366,L21-ROD. DO TIETÊ,3094.00273224044
BOTUCATU,6249637,366,L21-ROD. DO TIETÊ,17075.5109289618
AREIOPOLIS,5013707,366,L21-ROD. DO TIETÊ,13698.6530054645
LENÇÓIS PAULISTA,5875872,366,L21-ROD. DO TIETÊ,16054.2950819672
ELIAS FAUSTO,3899085,366,L21-ROD. DO TIETÊ,10653.237704918
RIO DAS PEDRAS,2888282,366,L21-ROD. DO TIETÊ,7891.48087431694
SANTOS,6906461,366,L22-ECOVIAS IMIGRANTES,18870.1120218579
SÃO VICENTE,5716705,366,L22-ECOVIAS IMIGRANTES,15619.412568306
RIACHO GRANDE,4781688,366,L22-ECOVIAS IMIGRANTES,13064.7213114754
PIRATININGA,14306527,366,L22-ECOVIAS IMIGRANTES,39088.8715846995
BATISTINI,4709256,366,L22-ECOVIAS IMIGRANTES,12866.8196721311
ELDORADO,2816899,366,L22-ECOVIAS IMIGRANTES,7696.44535519126
DIADEMA,5531698,366,L22-ECOVIAS IMIGRANTES,15113.9289617486
ITAQUAQUECETUBA,36989635,366,L23-LESTE PAULISTA,101064.576502732
GUARAREMA,18081625,366,L23-LESTE PAULISTA,49403.3469945355
SÃO JOSÉ DOS CAMPOS,15297098,366,L23-LESTE PAULISTA,41795.349726776
CAÇAPAVA,9943878,366,L23-LESTE PAULISTA,27169.0655737705
CASTELLO BRANCO EXTERNA,5684679,366,L24-RODOANEL,15531.9098360656
PADROEIRA EXTERNA,3630375,366,L24-RODOANEL,9919.05737704918
PADROEIRA INTERNA,3438869,366,L24-RODOANEL,9395.81693989071
RAPOSO TAVARES EXTERNA,8075741,366,L24-RODOANEL,22064.8661202186
RAPOSO TAVARES INTERNA,6420265,366,L24-RODOANEL,17541.7076502732
REGIS BITTENCOURT,20458212,366,L24-RODOANEL,55896.7540983607
CASTELLO BRANCO INTERNA,16027893,366,L24-RODOANEL,43792.0573770492
RAIMUNDO MAGALHÃES,9605329,366,L24-RODOANEL,26244.0683060109
BANDEIRANTES EXTERNA,6934502,366,L24-RODOANEL,18946.7267759563
BANDEIRANTES INTERNA,4162286,366,L24-RODOANEL,11372.3661202186
ANHANGUERA EXTERNA,2493469,366,L24-RODOANEL,6812.75683060109
ANHANGUERA INTERNA NORTE,3923773,366,L24-RODOANEL,10720.6912568306
ANHANGUERA INTERNA SUL,2107176,366,L24-RODOANEL,5757.31147540984
PARELHEIROS,10927519,366,L25-SPMAR,29856.6092896175
IMIGRANTES - LITORAL,3331534,366,L25-SPMAR,9102.55191256831
IMIGRANTES - CAPITAL,1690792,366,L25-SPMAR,4619.65027322404
IMIGRANTES,7422851,366,L25-SPMAR,20281.0136612022
