"SP","Rodovia","Trecho","mun_A","mun_B","VDM2024","split_ok"
"SP008","Pedro Astenori Marigliani","Bragança Paulista-Pinhalzinho","Bragança Paulista","Pinhalzinho",25187,TRUE
"SP008","Pedro Astenori Marigliani","Pinhalzinho-Socorro","Pinhalzinho","Socorro",10943,TRUE
"SP023","Luiz Salomão Chama","Franco da Rocha-Mairiporã","Franco da Rocha","Mairiporã",17999,TRUE
"SP031","Índio Tibiriça","Ribeirão Pires -São Bernardo do Campo","Ribeirão Pires","São Bernardo do Campo",19375,TRUE
"SP046","Oswaldo Barbosa Guisardi","Santo Antonio do Pinhal-Taubaté","Santo Antonio do Pinhal","Taubaté",5954,TRUE
"SP052","Hamilton Vieira Mendes","Cachoeira Paulista-Cruzeiro","Cachoeira Paulista","Cruzeiro",10728,TRUE
"SP055","Doutor Manoel Hypollito Rego","Caraguatatuba-Ubatuba","Caraguatatuba","Ubatuba",21949,TRUE
"SP055","Doutor Manoel Hypollito Rego","Caraguatatuba-São Sebastião","Caraguatatuba","São Sebastião",18093,TRUE
"SP055","Doutor Manoel Hypollito Rego","Caraguatatuba-São Sebastião","Caraguatatuba","São Sebastião",NA,TRUE
"SP055","Doutor Manoel Hypollito Rego","Caraguatatuba-São Sebastião","Caraguatatuba","São Sebastião",5684,TRUE
"SP055","Doutor Manoel Hypollito Rego","Bertioga-São Sebastião","Bertioga","São Sebastião",15007,TRUE
"SP055","Padre Manoel da Nobrega","Bertioga-São Sebastião","Bertioga","São Sebastião",25913,TRUE
"SP055","Doutor Manoel Hypollito Rego","Bertioga-Santos","Bertioga","Santos",14353,TRUE
"SP055","Luiz Salomão Chama","Praia Grande-São Paulo","Praia Grande","São Paulo",50248,TRUE
"SP055","Padre Manoel da Nobrega","Itanhaem-Mongaguá","Itanhaem","Mongaguá",44949,TRUE
"SP055","Padre Manoel da Nobrega","Itanhaem-Peruíbe","Itanhaem","Peruíbe",19383,TRUE
"SP055","Padre Manoel da Nobrega","Pedro de Toledo-Peruibe","Pedro de Toledo","Peruibe",7771,TRUE
"SP056","Prefeito Joaquim Simão","Igaratá-Santa Isabel","Igaratá","Santa Isabel",4552,TRUE
"SP063","Alkindar Monteiro Junqueira","Bragança Paulista-Itatiba","Bragança Paulista","Itatiba",20123,TRUE
"SP079","Waldomiro Correa Camargo","Itu-Sorocaba","Itu","Sorocaba",18278,TRUE
"SP079","Waldomiro Correa Camargo","Sâo Paulo-Sorocaba","Sâo Paulo","Sorocaba",21695,TRUE
