"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35224063553807,"35","SP",3522406,"Itapeva","35","SP",3553807,"Taquarituba","Centro Subregional B","Centro Local",6.15,120,0,28,28,-48.877389159,-23.9834379994,-49.2440885381,-23.5320605078,0,"Não",0.05125
35027053521200,"35","SP",3502705,"Apiaí","35","SP",3521200,"Iporanga","Centro de Zona B","Centro Local",5.6,105,0,12,12,-48.8486599043,-24.5133160002,-48.5896007137,-24.5844601784,0,"Não",0.0533333333333333
35239093539103,"35","SP",3523909,"Itu","35","SP",3539103,"Pirapora do Bom Jesus","Integrante de Capital Regional C (Sorocaba)","Integrante de Metrópole (São Paulo)",4,75,0,56,56,-47.2997498363,-23.2654425001,-47.0009675684,-23.3975233075,0,"Não",0.0533333333333333
35226533542800,"35","SP",3522653,"Itapirapuã Paulista","35","SP",3542800,"Ribeira","Centro Local","Centro Local",6,110,0,10,10,-49.1721656549,-24.5715534996,-49.0083019943,-24.6574894992,10,"Não",0.0545454545454545
35027053532827,"35","SP",3502705,"Apiaí","35","SP",3532827,"Nova Campina","Centro de Zona B","Centro Local",9.9,180,0,38,38,-48.8486599043,-24.5133160002,-48.9057384788,-24.1232104177,0,"Não",0.055
35045033553005,"35","SP",3504503,"Avaré","35","SP",3553005,"Taguaí","Centro Subregional B","Centro Local",5.5,100,0,42,42,-48.9232631943,-23.1031935003,-49.4057711151,-23.4498141189,0,"Não",0.055
35205093552403,"35","SP",3520509,"Indaiatuba","35","SP",3552403,"Sumaré","Integrante de Capital Regional A (Campinas)","Integrante de Capital Regional A (Campinas)",4.15,75,0,28,28,-47.2123089399,-23.0816460004,-47.2658027322,-22.8221449998,0,"Não",0.0553333333333333
35303003532702,"35","SP",3530300,"Mirassol","35","SP",3532702,"Nipoã","Integrante de Capital Regional B (São José do Rio Preto)","Centro Local",5,90,0,14,14,-49.512139218,-20.8170044997,-49.7808986509,-20.9139024275,0,"Não",0.0555555555555556
35111023552601,"35","SP",3511102,"Catanduva","35","SP",3552601,"Tabapuã","Centro Subregional A","Centro Local",3.4,60,0,150,150,-48.9758709395,-21.1395385004,-49.032621409,-20.9576006763,0,"Não",0.0566666666666667
35327023549805,"35","SP",3532702,"Nipoã","35","SP",3549805,"São José do Rio Preto","Centro Local","Núcleo de Capital Regional B (São José do Rio Preto)",6.9,120,0,14,14,-49.7808986509,-20.9139024275,-49.3813476849,-20.8126364997,0,"Não",0.0575
35062013530102,"35","SP",3506201,"Bento de Abreu","35","SP",3530102,"Mirandópolis","Centro Local","Centro Local",3.21,55,0,42,42,-50.8118522147,-21.2691080211,-51.1056403917,-21.132086985,0,"Não",0.0583636363636364
35045033535804,"35","SP",3504503,"Avaré","35","SP",3535804,"Paranapanema","Centro Subregional B","Centro Local",6.15,105,0,28,28,-48.9232631943,-23.1031935003,-48.7236769845,-23.3869279996,0,"Não",0.0585714285714286
35205093533403,"35","SP",3520509,"Indaiatuba","35","SP",3533403,"Nova Odessa","Integrante de Capital Regional A (Campinas)","Integrante de Capital Regional A (Campinas)",5.4,90,0,14,14,-47.2123089399,-23.0816460004,-47.2936346145,-22.7827946609,0,"Não",0.06
35388083553807,"35","SP",3538808,"Piraju","35","SP",3553807,"Taquarituba","Centro de Zona B","Centro Local",5.4,90,0,35,35,-49.3839744895,-23.1929914946,-49.2440885381,-23.5320605078,0,"Não",0.06
35114093546405,"35","SP",3511409,"Cerqueira César","35","SP",3546405,"Santa Cruz do Rio Pardo","Centro Local","Centro de Zona B",5.45,90,0,28,28,-49.1653301707,-23.0347974992,-49.6246088692,-22.9057225004,0,"Não",0.0605555555555556
35027543522505,"35","SP",3502754,"Araçariguama","35","SP",3522505,"Itapevi","Integrante de Metrópole (São Paulo)","Integrante de Metrópole (São Paulo)",4.25,70,0,106,106,-47.071547636,-23.4300408483,-46.9333728633,-23.5469340003,0,"Não",0.0607142857142857
35045033553807,"35","SP",3504503,"Avaré","35","SP",3553807,"Taquarituba","Centro Subregional B","Centro Local",5.5,90,0,82,82,-48.9232631943,-23.1031935003,-49.2440885381,-23.5320605078,0,"Não",0.0611111111111111
