"MUNI_O","MUNI_D","viagens"
36,15,221727.978319429
15,36,216307.58721918
24,36,212942.373732031
36,24,212249.62770745
32,36,124404.551420654
36,32,123099.62520578
33,36,103915.192666946
36,33,100210.697530124
36,38,98975.9056884496
38,36,94332.2269130254
8,36,92908.1568396905
36,8,92879.843684475
32,22,77048.0417580989
22,32,76977.2451807037
33,32,76907.2561053314
32,33,75458.4172046965
18,36,75076.3114979988
36,18,74482.8814244831
2,36,70119.4676934888
11,36,67895.2286041821
36,2,66147.4985783067
36,11,66091.1608125836
8,33,64256.9228579641
33,8,63792.1071656118
9,36,57005.3430481359
36,9,56986.9261090831
34,36,53493.4333269316
36,34,53150.9909433607
34,32,49996.7605566045
32,34,49833.7912814945
16,36,47002.7685736169
6,36,46757.5643087194
36,6,45368.893990678
36,16,43920.1433024877
31,2,42565.838697336
2,31,41888.3605114624
36,22,41353.0867363082
22,36,40818.0338663323
36,37,38220.3251259327
37,36,35030.4211058619
19,2,34838.6676322353
36,7,34511.7519447808
7,36,34366.2744338515
2,19,33155.6625313216
36,17,32666.8640878847
17,36,31509.6037316189
2,24,30425.3517203528
36,12,29621.3021177589
24,6,29445.7282813124
12,36,28553.5402630096
24,2,28442.2723170025
4,36,27971.0205408296
6,24,27688.1054139404
38,9,27326.9477327434
13,36,26760.034439097
36,4,26712.5263180745
23,36,25656.4433016215
34,33,25299.8142228844
36,23,24923.6822830102
33,34,24814.9823793522
37,26,24665.9486516532
6,2,24161.2305307359
9,38,24030.5784887279
36,31,24003.9977808322
2,6,23731.5803678995
26,37,23471.0039593001
36,13,22560.4407761271
23,37,22558.9056348511
31,36,22161.7944870661
37,23,22052.9974377122
37,18,20549.3888715477
19,17,19283.6913718347
26,36,19132.9406709863
36,26,18726.9314653781
17,2,18530.1092263769
17,19,17537.8056477204
18,37,16985.0414325323
2,17,16745.0229706418
36,10,16093.8824637483
22,34,15662.8509062169
18,26,15269.1283802538
26,18,15269.1283802538
10,36,15215.1120963569
21,36,15142.3044216256
36,5,15119.5995009164
5,36,14919.8715250285
22,33,14730.4495242416
26,11,14654.2519166721
34,22,14635.1404835584
36,21,14555.3880962083
15,18,13845.2617465083
1,36,13751.8581457779
36,19,13607.8109554599
18,23,13534.3327033333
11,26,13454.8658099592
33,22,13111.2626257965
18,15,13080.6907519644
23,18,12379.9032569989
36,27,12376.1387264572
27,32,12347.9297715895
27,36,12309.5248539923
19,36,12195.4736829905
22,27,12047.3871278968
6,7,11878.4020528589
7,6,11878.4020528589
32,27,11649.5634204924
27,22,11616.5867221847
36,1,11588.0292279389
11,37,10774.5214121597
12,13,10734.7397687987
37,11,10549.3423558092
7,39,10337.7247741547
39,7,10337.7247741547
13,12,10131.4486013023
15,1,9485.4833069725
18,1,9344.3225020194
23,26,9188.9494209192
26,23,9188.9494209192
19,24,9066.2692585777
1,15,8914.5994090504
24,19,8350.0792345109
15,37,8299.5807515502
1,18,7805.2585180673
17,24,7293.135107748
37,15,7141.3133257929
9,16,6888.5549389038
16,9,6888.5549389038
24,17,6785.640874464
7,9,6735.3939708371
5,12,6643.6133801049
12,5,6643.6133801049
17,7,6628.1537507793
8,32,6574.8512828658
5,31,6532.9176565129
9,7,6496.9559453341
7,17,6483.1753018752
6,19,6471.4029873287
4,13,6413.3555523954
13,4,6413.3555523954
27,28,6327.3789108027
32,8,6258.7720937088
28,27,6238.0377354852
6,31,6061.7093575393
19,6,6044.73628409
2,23,6003.5281642183
23,2,6003.5281642183
31,6,5956.7126119091
31,5,5547.177495914
17,6,5536.5475570139
5,13,5413.9583503568
32,15,5312.6397169764
15,32,5255.1295938571
6,17,5121.0238386733
15,33,4806.2782476152
7,16,4794.4290808166
16,7,4794.4290808166
27,33,4701.4101575667
13,5,4360.9730469555
8,34,3819.6928714187
34,8,3819.6928714187
30,1,3762.7052693908
1,30,3703.6728756077
23,11,3688.1755715
5,2,3682.6635750391
38,39,3503.584579457
39,38,3503.584579457
2,5,3495.9382855182
28,32,3315.2605115887
24,38,3296.2080912771
32,28,3248.3021282908
38,24,3241.1810404878
15,11,3221.7607086138
11,23,3187.34718614
4,12,3172.8268610381
12,4,3172.8268610381
36,39,3161.9912646863
39,36,3161.9912646863
11,18,3139.8567988078
24,7,3115.7440362226
24,31,3107.3597076187
27,37,3062.8471146034
28,36,3040.1546288437
36,28,3040.1546288437
7,24,3001.6561517855
37,27,2945.0640437948
11,15,2926.452686433
18,11,2831.9794288818
3,23,2665.6518755997
23,3,2665.6518755997
9,24,2583.5298941903
24,9,2583.5298941903
31,24,2568.0254520881
14,23,2548.1797804465
23,14,2548.1797804465
15,38,2543.5151534515
33,27,2504.3573445544
38,16,2490.433892009
15,22,2440.7114299355
22,15,2440.7114299355
38,7,2436.6312644659
22,8,2357.5506252513
2,18,2268.8706237671
18,2,2268.8706237671
7,2,2236.4598680376
7,38,2196.0490526249
8,22,2105.3688078869
